CountryCode,SeriesCode,DESCRIPTION
"ARE","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARE","IT.NET.BBND","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ARE","IT.CEL.SETS.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","ST.INT.RCPT.CD","Compiled from data reported by the Central Bank. Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad."
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ARE","IT.MLT.MAIN","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders."
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARE","MS.MIL.XPND.ZS","1997-2014 SIPRI estimates."
"ARG","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series."
"ARG","IT.CEL.SETS","Comisión Nacional de Comunicaciones."
"ARG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","IT.MLT.MAIN.P2","Comisión Nacional de Comunicaciones."
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones."
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ARG","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARG","IS.RRS.PASG.KM","Source: OECD"
"ARG","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ARG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
"ARG","NE.CON.PRVT.PP.KD","Estimates are based on regression."
"ARG","SP.POP.GROW","Data source: United Nations World Population Prospects"
"ARG","NY.GNP.MKTP.PP.KD","Estimates are based on regression."
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones."
"ARG","IS.RRS.GOOD.MT.K6","Source: OECD"
"ARG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ARG","NE.CON.PRVT.PP.CD","Estimates are based on regression."
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. Starting 2004, as a result of the importance of the “Survey on International Tourism”, the estimates of the series of the “Travel” item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ARG","IT.NET.BBND","Comisión Nacional de Comunicaciones."
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARG","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARG","NY.GDP.MKTP.PP.CD","Estimates are based on regression."
"ARG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2023 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club debt restructuring agreement."
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones."
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ARG","NY.GNP.MKTP.PP.CD","Estimates are based on regression."
"ARG","NY.GDP.MKTP.PP.KD","Estimates are based on regression."
"ARG","IT.NET.BBND.P2","Comisión Nacional de Comunicaciones."
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ARG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","NY.GNP.PCAP.PP.CD","Estimates are based on regression."
"ARG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARG","NY.GNP.PCAP.PP.KD","Estimates are based on regression."
"ARG","NY.GDP.PCAP.PP.KD","Estimates are based on regression."
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates."
"ARG","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders. Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series."
"ARG","NY.GDP.PCAP.PP.CD","Estimates are based on regression."
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications."
"ARM","IT.CEL.SETS","Ministry of Transport and Communications."
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARM","ST.INT.DPRT","Includes overnight visitors (tourists) only."
"ARM","IS.RRS.PASG.KM","Source: OECD"
"ARM","SP.DYN.CDRT.IN","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications."
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","SP.DYN.LE00.IN","Derived using male and female life expectancy"
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications."
"ARM","SP.POP.TOTL","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders."
"ARM","SP.DYN.LE00.FE.IN","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ARM","IT.NET.BBND","Ministry of Transport and Communications."
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARM","SP.POP.GROW","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications."
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications."
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","IS.RRS.GOOD.MT.K6","Source: OECD"
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","SP.DYN.TFRT.IN","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced from the Central Bank of Armenia."
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ARM","SP.DYN.LE00.MA.IN","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ARM","SP.DYN.CBRT.IN","Data source: Statistical Committee Republic of Armenia (Armstat), United Nations World Population Prospects"
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority."
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority."
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority."
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre."
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority."
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects"
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country."
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority."
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority."
"ASM","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders."
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority."
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ATG","SP.POP.GROW","Data source: United Nations World Population Prospects"
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ATG","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ATG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report"
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ATG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ATG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel."
